AccessFrequency,PurchaseHistory,Target_Surge,Cluster_ID
12,463.87608551122656,1,0
6,384.6652944123174,0,0
11,415.72088991692414,1,0
14,66.54913441470545,0,1
7,395.92334643408,0,0
8,216.48938302874848,0,2
9,11.669341415323553,0,2
11,30.044176371642305,0,2
8,338.95396986742224,0,0
10,186.00622057298494,0,2
7,434.0577866117402,1,0
11,367.13656693793325,0,0
11,10.84000583348088,0,2
8,343.444155918001,0,0
12,96.17623636617812,0,2
6,211.29128435195605,0,2
7,312.36760106148137,0,0
8,436.35892064784645,0,0
10,228.0489441959696,0,2
5,404.2452270955672,0,0
3,391.4828314003164,0,0
9,207.26925642562915,0,2
13,250.49008171645144,0,1
8,350.24250502490656,0,0
6,15.574217323469863,0,2
13,445.405706899623,0,1
12,384.9080797188467,0,1
13,124.7079407011652,0,1
9,490.5899765944878,1,0
14,89.69517629480939,0,1
8,457.04333685220087,1,0
8,162.23672916155556,0,2
12,381.5733550820679,1,1
15,228.18829662397255,0,1
13,368.2336937250011,0,1
13,77.89152396968313,0,1
10,134.7532291932414,0,2
8,49.92891223601281,0,2
15,432.5719907189016,1,1
9,148.14649388474965,0,2
7,347.2381147083317,0,0
8,410.1105988707641,1,0
13,450.70911818967295,1,1
15,53.14855765585891,0,1
8,446.50746675630626,0,0
7,98.62638886535974,0,2
9,368.4510057954808,1,0
6,364.4245096823056,1,0
16,4.251570870477117,0,1
10,110.31195415512713,0,2
18,245.95425733243366,0,1
10,210.01735333164106,0,2
8,459.2867399423048,1,0
11,179.87043475126157,1,2
3,468.4918574179812,0,0
15,229.71465919626556,1,1
6,482.1764483200829,1,0
7,368.6774050124306,0,0
9,414.66729581607797,1,0
11,52.438444174500496,0,2
8,293.0707166211839,0,0
12,71.35017991467541,0,2
10,148.81050102548704,0,2
11,311.78270308363403,0,0
12,363.11285234694543,1,1
16,19.591891005625417,0,1
8,265.47186553618235,0,0
7,282.6569931449432,0,0
13,39.413998555100584,0,2
10,250.3440171003818,0,0
15,356.92114002491326,0,1
8,26.613642437765485,0,2
11,380.133888161981,0,0
11,288.2132524520684,1,1
5,416.61360413589546,0,0
10,109.03128642703497,0,2
11,416.6368421065592,0,0
12,47.28048763373399,0,2
8,201.91484822233568,0,2
11,99.74239576232424,0,2
11,438.0104161454371,1,0
5,352.4599081508869,0,0
8,12.68088858036409,0,2
13,4.76167780697806,0,2
11,145.62462724083485,0,2
7,71.6415571402827,0,2
8,315.1522387800979,0,0
11,331.8984669412799,0,0
15,470.9754518306837,1,1
8,476.01996227292045,1,0
14,329.4483527056728,0,1
6,2.8375564263543596,0,2
16,179.49895828480717,0,1
11,256.5707566236331,0,1
6,249.58987825423296,0,0
14,301.6703147511133,1,1
12,480.2757414023802,1,0
9,442.5963459775769,0,0
10,54.45401672524414,0,2
13,132.99019569669662,0,1
15,416.55470870981816,1,1
9,412.1534544096035,1,0
11,137.68536206083547,0,2
10,365.29401534305975,0,0
8,336.01868935892867,1,0
1,236.76198248498076,0,0
13,100.72747633951468,0,1
6,444.3215904470431,0,0
13,338.92559215341737,0,1
11,84.49646243918735,0,2
10,352.4011724204304,1,0
10,370.71685978848996,1,0
13,443.4401425605203,1,1
9,111.41962762096746,0,2
9,494.3770527067033,1,0
6,76.69671126346061,0,2
10,300.34444592979156,0,0
12,328.58825263673924,1,1
17,209.47644763293027,0,1
10,237.51885438519326,0,2
9,445.4550483610687,0,0
9,322.63711483273096,0,0
3,248.50047911734313,0,0
10,64.17478121676234,0,2
10,3.668812611567318,0,2
6,62.484309075916734,0,2
9,478.09228373825266,0,0
11,382.04339149566533,0,0
9,483.55816375512387,1,0
10,17.85435485408593,0,2
11,340.1102019293196,0,0
16,22.146763201708996,0,1
9,391.0282344344116,0,0
10,190.47508636759713,0,2
16,47.88268005324742,0,1
7,284.02332089375767,0,0
5,140.06009830069405,0,2
5,329.78697093590927,0,0
4,329.0873797568952,0,0
14,352.5037370603764,0,1
13,496.2325393888795,1,1
8,193.3488549737027,0,2
12,232.65773724255047,1,1
9,402.3058505126704,0,0
14,289.1850115109427,0,1
12,18.628605343899817,0,2
10,421.53926012992827,1,0
9,25.749340969020484,0,2
15,85.41006824589215,0,1
17,51.0399834870936,0,1
11,38.96356644056009,0,2
8,12.842437652355098,0,2
5,27.513856986183693,0,2
9,221.21959458940498,0,2
8,126.42613499130695,0,2
6,63.26844170940937,0,2
11,329.352771363263,1,0
5,113.05595531712925,0,2
12,9.474577672404727,0,2
9,209.20989188366386,0,2
9,155.21649598915255,0,2
13,159.30221567324637,0,1
9,222.63501409078074,0,2
5,334.45696361713885,0,0
